id;myzone;neighborhood;going;place;route;routine_id;hub;slots;description;created_at;updated_at;week_days;repeats_until;done;deleted_at;date
;Zona Oeste;Vargem Pequena;;Vargem Pequena;Rio Centro, Camorim, Linha Amarela, Centro e IFCS;;Praia Vermelha;;Fico no IFCS, não vou até a Praia Vermelha.;2019-03-25 10:31:11;2019-03-25 10:31:11;1,3;2019-07-25;;;2019-06-03 12:00:00
;Zona Norte;Ribeira;;;estrada do galeão;;CT;;;2016-05-06 14:55:04;2017-04-19 11:59:25;2;2016-07-10;;;2016-05-10 15:00:00
;Zona Oeste;Barra da Tijuca;;Av das Américas entre Alvorada e Recreio ou Abelardo Bueno;Linha Amerela;;CCS: Frente;;Ajuda de custo é bem vinda! ☺️😉;2016-05-19 16:46:30;2017-04-19 11:59:25;1,2,3,4;;;2016-06-08 20:03:13;2016-06-20 09:30:00
;Zona Sul;Gávea;;; Jardim Botânico, Lagoa, Rebouças;;CCS: Frente;;;2016-11-23 19:29:28;2017-04-19 11:59:25;;;;;2016-11-24 12:00:00
;Zona Sul;Botafogo;;Bloco D;Marquês de Olinda, Praia de Botafogo, Pinheiro Machado;;CT;;Contribuição de R$4.00;2018-04-18 11:00:15;2018-04-18 11:00:15;1,3;;;;2018-05-14 08:10:00
;Baixada;Duque de Caxias;;Pilar;Presidente Kennedy ou Washington Luiz;;CCS: HUCFF;;;2017-03-14 13:54:14;2017-04-19 11:59:25;1,2,3,4;;;;2017-04-05 17:00:00
;Zona Oeste;Jacarepaguá;;Taquara ;Linha Amarela;;CCMN: Frente;;"Não fumo.
Peço contribuição de R$4,00
Posso alterar o trajeto dependendo do caronista.";2016-06-30 17:31:14;2017-04-19 11:59:25;;;;2016-06-30 17:31:26;2016-06-30 18:00:00
;Centro;Centro (Bairro);;FND ;Linha Vermelha ;;CT: Bloco A;;-;2016-11-10 17:08:54;2017-04-19 11:59:25;2,4;;;;2016-11-15 18:00:00
;Zona Sul;Copacabana;;Copacana Palace;Túnel Velho ou Rio Sul <>Rebouças;;CT: Bloco D;;;2016-04-28 16:53:26;2017-04-19 11:59:25;;;;;2016-04-28 17:05:00
;Grande Niterói;São Gonçalo;;;Centro, Alameda, Maria Paula;;CCS: Frente;;;2017-01-23 00:17:27;2017-04-19 11:59:25;1,2,3,4,5;;;;2017-01-27 18:00:00
;Zona Oeste;Recreio dos Bandeirantes;;Américas Shopping;"Av das Américas ou Abelardo Bueno; Linha Amarela";;CCS;;;2017-03-07 22:21:39;2017-04-19 11:59:25;2,4,5;;;;2017-03-28 09:30:00
;Zona Oeste;Barra da Tijuca;;Jardim Oceânico;Zona Sul - São Conrado, Gávea, Lagoa, Fundão;;CT;;Cobro 6 reais de contribuição da gasolina.;2017-03-15 00:09:28;2017-04-19 11:59:25;1,2,3,4;;;2017-03-15 00:10:33;2017-05-01 01:00:00
;Zona Sul;Leblon;;Bartolomeu Mitre (perto do Zona Sul);Lagoa ;;CCS: HUCFF;;"Busco em outros pontos do fundão
4 reais";2016-08-30 16:53:47;2017-04-19 11:59:25;3;;;;2016-10-05 16:30:00
;Zona Norte;Andaraí;;Próximo ao Tijolinho;Maxuel - Maracanã - Linha Vermelha;;CT: Bloco H;;4 reais para ajudar no combustível.;2017-07-11 23:10:03;2017-07-11 23:10:03;1,2,3,4,5;;;;2017-07-18 13:00:00
;Zona Sul;Copacabana;;posto 6;sair rua francisco Sá, vou pela Lagoa entrando na bolivar;;CCS;;ajuda pra gasosa R$ 2;2018-06-05 09:38:12;2018-06-05 09:38:12;1,2,3,4,5;;;;2018-07-27 06:45:00
;Zona Sul;Laranjeiras;;Base do Parque guinle;Santa Bárbara;;CT;;.;2018-08-13 21:16:52;2018-08-13 21:16:52;1,2,3,4,5;;;;2018-08-31 08:00:00
;Baixada;Duque de Caxias;;Duque de Caxias;Centro de Caxias, linha vermelha, praia vermelha.;;Praia Vermelha;;Saindo de Caxias até às 17:30Hs;2018-10-31 00:38:54;2018-10-31 00:38:54;1,3,4,5;;;;2018-12-31 18:00:00
;Zona Oeste;Recreio dos Bandeirantes;;Genaro com Benvindo ;Avenida Das Américas;;CT: Bloco A;;No grupo de caronas do recreio é de praxe que as caronas deem um auxílio de R$6 ao motorista 😬;2016-07-15 10:21:08;2017-04-19 11:59:25;;;;;2016-07-15 12:00:00
;Zona Sul;Ipanema;;General Osório;Gomes Carneiro (56), Bulhões de Carvalho, Rainha Elizabeth, Teresa Aragão, Prudente de Moraes, Vinicius de Moraes, Lagoa, Rebouças;;CT;;"Saio às 9h.
Cobro $4.";2016-04-10 01:03:58;2017-04-19 11:59:25;1;;;;2016-07-04 10:00:00
;Zona Norte;Vista Alegre;;Perto do Barril 8000;Vila Da Penha, Penha, Av Brasil ;;CT: Bloco A;;;2016-06-07 21:11:32;2017-04-19 11:59:25;;;;;2016-06-08 08:00:00
;Zona Sul;Copacabana;;posto 3;linha vermelha, lagoa, copacabana ;;CCMN: Fundos;;Colaboração bem vinda ;2016-05-13 00:05:51;2017-04-19 11:59:25;2,3,4;;;;2016-06-29 12:00:00
;Zona Norte;Riachuelo;;Em frente à clínica veterinária caniche;São cristovao (São Luiz Gonzaga até a linha vermelha) e marechal rondom;;CT;;Não fumo. Na terça, Quinta e sexta vou direto para o parque tecnológico mas paro no CT para deixar o pessoal.;2016-04-11 10:38:33;2017-04-19 11:59:25;1,2,3,4,5;;;;2016-05-02 08:00:00
;Zona Sul;Ipanema;;Praça General Osório;Gomes Carneiro, Barão da Torre ou Prudente de Moraes, Vinícius de Moraes, Lagoa, Rebouças;;CT: Bloco A;;"Cobro $4.
Saio às 9h.
CT, CCS, CCMN, EEFD, Reitoria, Letras.";2016-08-30 14:06:53;2017-04-19 11:59:25;2;;;2016-08-30 14:07:33;2016-10-04 08:00:00
;Zona Norte;Oswaldo Cruz;;Madureira shopping, Portela.;Linha Amarela, Suburbana, Cascadura, Edgar Romero, Est. Portela;;Letras;;"Preferência de carona para as meninas!

Posso alterar a rota se for pra deixar mais próximo, desde que a alteração seja pequena pro meu trajeto final.";2018-03-13 18:15:24;2018-03-13 18:15:24;2;;;;2018-05-08 21:15:00
;Zona Norte;Bento Ribeiro;;extra supermercado ;cascadura, Madureira e valqueire;;CCMN: Frente;;;2016-04-13 19:18:01;2017-04-19 11:59:25;;;;;2016-04-13 20:00:00
;Zona Sul;Urca;;;santa barbara;;CT;;;2016-06-09 08:35:05;2017-04-19 11:59:25;;;;;2016-06-09 09:15:00
;Zona Sul;Copacabana;;Hilário Toneleiro Rebouças ;;;CT;;4,00 de ajuda 😎;2016-11-29 00:11:37;2017-04-19 11:59:25;1,2,3,4,5;;;;2017-02-24 01:00:00
;Zona Oeste;Cidade de Deus;;;Barra, São Conrado, Orla;;Praia Vermelha;;Contribuição consciente;2019-06-12 22:54:30;2019-06-12 22:54:30;1,2,3,4,5;2019-08-17;;;2019-08-06 12:00:00
;Baixada;Duque de Caxias;;Centro de Duque de Caxias ;Supermercado Prezunic;;CT;;Informações WhatsApp 985971825;2016-11-05 15:04:00;2017-04-19 11:59:25;2;;;2016-11-05 15:05:17;2017-01-03 08:00:00
;Zona Oeste;Barra da Tijuca;;Riviera/Abm;Av das Americas, Ayrton Senna, Linha Amarela;;CT: Bloco H;;;2016-04-19 08:46:30;2017-04-19 11:59:25;3;;;;2016-05-18 09:00:00
;Zona Oeste;Recreio dos Bandeirantes;;Brt Glaucio Gil ;LA / Ayrton Sena / Américas Ou Praia ;;CT: Bloco A;;;2016-10-10 19:39:58;2017-04-19 11:59:25;;;;;2016-10-10 20:30:00
;Zona Sul;Copacabana;;Metro Cantagalo;Rebouças   Borges De Medeiros;;CT: Bloco A;;;2016-04-13 17:02:37;2017-04-19 11:59:25;;;;2016-04-13 19:11:53;2016-04-14 11:45:00
;Zona Oeste;Barra da Tijuca;;Alvorada ;Linha Amarela ;;Reitoria;;;2016-04-11 14:27:57;2017-04-19 11:59:25;;;;;2016-04-11 16:20:00
;Grande Niterói;Centro (Niterói);;Santa Rosa, Noronha Torrezão, 22 de novembro, Centro de Niterói;Noronha Torresão, 22 de novembro, Alameda;;Letras;;"Peço ajuda no combustível de 5,00

WhatsApp 21 964824093";2019-07-30 13:14:30;2019-07-30 13:14:30;1,2,3,4,5;2019-12-05;;;2019-10-10 07:30:00
;Baixada;Duque de Caxias;;;Viaduto Brigadeiro, av Duque de Caxias, Caxias Dor, Washington Luiz, Linha vermelha;;CT;;;2016-04-12 10:04:57;2017-04-19 11:59:25;1,2,3,4,5;;;;2016-05-26 08:00:00
;Grande Niterói;Centro (Niterói);;Praia de Icaraí;;;CCMN: Fundos;;;2016-05-10 12:04:42;2017-04-19 11:59:25;;;;2016-05-10 12:05:09;2016-05-10 12:15:00
;Zona Sul;Humaitá;;;;;CCS: Fundos;;;2018-08-28 13:48:58;2018-08-28 13:48:58;2;;;;2018-10-30 17:00:00
;Zona Norte;Coelho Neto;;Fazenda Botafogo e Posto de gasolina em frente ao metrô de Coelho Neto;Av. Pastor Matin Luther King Jr, Linha Amarela;;Letras;;Uma colaboração de 4 reais.;2018-10-26 10:00:38;2018-10-26 10:00:38;;;;;2018-10-30 09:20:00
;Zona Sul;Copacabana;;Estação Cantagalo ;Lagoa, Rebouças;;CCS;;;2016-04-09 20:00:54;2017-04-19 11:59:25;1,2,3,4,5;;;;2016-05-24 08:00:00
;Zona Norte;Maracanã;;;;;CT;;;2016-05-15 18:50:37;2017-04-19 11:59:25;1;;;2016-05-21 12:59:15;2016-06-20 09:00:00
;Zona Norte;Vila da Penha;;Colégio Pio XII;Linha Amarela - Automóvel Clube Ou Av. Brasil - Av. Vicente De Carvalho;;EEFD;;;2018-08-27 08:09:25;2018-08-27 08:09:25;1,3;;;;2018-09-17 09:10:00
;Zona Norte;Cascadura;;igreja metodista;linha amarela até saída 4, dom Hélder Câmara, Ângelo Dantas, Maria Lopes, Ernani Cardoso, padre Telêmaco;;CT: Bloco A;;;2016-04-12 05:59:28;2017-04-19 11:59:25;;;;;2016-04-12 18:00:00
;Zona Norte;Tijuca;;Guanabara Tijuca;Maracanã, Colégio Militar;;CT: Bloco A;;Aceito contribuição voluntária para gasolina 😊;2019-03-11 00:16:07;2019-03-11 00:16:07;1;2019-07-11;;;2019-04-22 17:00:00
;Zona Norte;Vista Alegre;;Praça do cimento branco;Avenida Brasil Ou Linha Vermelha ;;CT: Bloco D;;Posso passar por bairros adjacentes.;2016-04-09 22:13:22;2017-04-19 11:59:25;3;;;2016-04-27 14:17:00;2016-04-27 22:00:00
;Zona Norte;Vila Isabel;;Hospital Pedro Ernesto;O que o waze mandar;;CCS;;Contato pelo Whatsapp;2019-04-15 17:36:57;2019-04-15 17:36:57;1,2,3,4,5;2019-06-16;;;2019-05-03 09:30:00
;Zona Norte;Tijuca;;Praça Xavier de Brito (Dos Cavalinhos);Rua Uruguai - Avenida Maracanã - Praça da Bandeira - Leopoldina - Rodoviária - Linha Vermelha - Fundão;;CT;;aquela contribuição de 3 reais é sempre bem vinda :);2016-05-15 23:12:53;2017-04-19 11:59:25;1,2;;;;2016-06-13 08:00:00
;Zona Oeste;Barra de Guaratiba;;;Alvorada ;;CCS: Frente;;Aceito ajuda de 6 reais para pedágio e GNV.;2017-02-14 15:59:32;2017-04-19 11:59:25;1,2,3,4,5;;;;2017-02-23 16:00:00
;Baixada;Nilópolis;;Avenida Mirandela ;;;CT;;;2016-04-11 13:43:46;2017-04-19 11:59:25;5;;;;2016-05-06 08:00:00
;Zona Sul;Ipanema;;Praça General Osório;Túnel Rebouças;;CT: Bloco A;;"Saio do bloco C, normalmente.
Cobro $4 pra ajudar na gasolina.";2017-05-10 09:36:08;2017-05-10 09:36:08;2,4;;;;2017-06-08 17:00:00
;Zona Oeste;Curicica;;Cidade Jardim;Linha Amarela;;CT;;;2016-04-12 09:07:25;2017-04-19 11:59:25;1,2,4,5;;;;2016-07-28 09:00:00
;Zona Oeste;Curicica;;brt Pedro Corrêa;Linha Amarela;;CT;;Não fumo. Não levar animais.;2017-04-26 11:06:06;2017-04-26 11:06:06;1;;;;2017-06-26 12:30:00
;Zona Sul;Catete;;R. Bento Lisboa - em frente à Casa & Vídeo ;Linha Vermelha - Leop - Sta bárbara ;;CT;;"Saindo às 7:30
Contribuição é opcional ";2016-05-24 06:40:05;2017-04-19 11:59:25;;;;;2016-05-24 08:00:00
;Zona Norte;Maracanã;;Universidade Veiga de Almeida ;Rua Ibituruna, Praça Da Bandeira, Avenida Brasil, Linha Vermelha;;CT;;"Saio da UVA por volta das 7h.
Ar condicionado, playlist democrática e conforto.
Contribuição voluntária de R$3,00.";2016-04-14 22:12:01;2017-04-19 11:59:25;;;;;2016-04-15 08:00:00
;Centro;Rio Comprido;;Esquina da Barão de Itapagipe;Paulo de Frontin - Leopoldina - Av. Brasil - Linha Vermelha;;Reitoria;;"Contribuição pra gasolina: R$4,00!
✌🏼🤓


Falar no WhatsApp:
(21) 9 9573 8616";2017-10-06 14:27:55;2017-10-06 14:27:55;1,2,3,4;;;;2017-10-30 07:00:00
;Zona Oeste;Barra da Tijuca;;Jardim oceanico;Pela PrAia;;CT: Bloco A;;;2016-04-14 12:36:27;2017-04-19 11:59:25;1,2,3,4;;;2016-05-17 09:59:45;2016-05-19 08:00:00
;Zona Sul;Cosme Velho;;Estação do corcovado;Laranjeiras, rua Ipiranga, Sr. barbara, Prefeitura Leopoldina;;CT;;;2017-07-03 21:44:53;2017-07-03 21:44:53;;;;;2017-07-04 10:00:00
;Zona Sul;Cosme Velho;;corcovado;St barbara;;CT: Bloco D;;Trajeto flexível, contribuições VOLUNTÁRIAS aceitas :);2016-07-22 16:05:31;2017-04-19 11:59:25;;;;;2016-07-22 16:10:00
;Zona Oeste;Recreio dos Bandeirantes;;Avenida das Américas;Linha Amarela, Avenida das Américas, Américas Shopping;;CT: Bloco H;;Não-fumantes, contribuição com gasolina: R$4;2017-06-14 08:57:55;2017-06-14 08:57:55;;;;;2017-06-14 17:00:00
;Zona Sul;Laranjeiras;;Fluminense ;" Túnel Sta Barbara; Presidente Vargas; Linha vermelha; entrada do Cenpes";;CCS;;Ajuda amiga da gasolina: R$3,00;2016-06-12 05:09:35;2017-04-19 11:59:25;1,2,3,4,5;;;2016-06-12 05:13:10;2016-08-08 07:00:00
;Zona Sul;Humaitá;;Atrás da casa de saúde São José;Rua Pinheiro Guimarães, Conde Irajá, Visconde De Silva, Macedo Sobrinho, Rua Humaitá, Rebouças, Paulo De Frontin, Linha Vermelha;;CT;;Não fumo, não cobro carona e saio de casa 7:20 pra aula das 8.;2019-03-19 20:54:57;2019-03-19 20:54:57;1,3;2019-06-20;;;2019-04-15 08:00:00
;Zona Sul;Jardim Botânico;;Rua faro;Cap UFRJ, Borges, Rebouças ;;CT;;Às vezes me atraso um pouquinho;2016-04-10 22:22:34;2017-04-19 11:59:25;2,3,4,5;;;2016-04-14 21:11:42;2016-05-25 08:10:00
;Zona Oeste;Barra da Tijuca;;Mundo Novo;Ayrton Senna Linha Amarela;;Letras;;"Passo pelo Rio Design, Novo Leblon, Cidade das Artes e Linha Amarela. 
ajuda custo sugerida: R$ 4,00 ";2016-05-17 10:47:10;2017-04-19 11:59:25;1,2,3,4,5;;;;2016-06-22 18:00:00
;Zona Oeste;Anil;;supermercado Prezunic;capão, gabinal, lin. amarela;;CCMN;;;2017-01-10 18:59:52;2017-04-19 11:59:25;1,2,3,4,5;;;;2017-03-02 08:00:00
;Zona Norte;Tijuca;;Muda;;;CT;;Contribuições são bem-vindas ;2016-06-05 11:53:39;2017-04-19 11:59:25;;;;;2016-06-11 08:00:00
;Zona Norte;Penha;;Próximo ao IAPI, início da Rua Quito;Megabox, Posto Onze, Extra De Olaria, Olaria, Ramos;;CT;;"- Posso fazer pequenas alterações no percurso (até Bonsuvesso, por exemplo) 
- Peço uma contribuição para o combustível de R$ 3";2018-03-22 11:49:17;2018-03-22 11:49:17;1,3,5;;;;2018-04-30 08:00:00
;Zona Oeste;Pechincha;;Próximo ao Teatro Sesi ;Linha Amarela ;;Reitoria;;Não fumo. Contribuição é bem vinda ;2016-04-28 12:10:11;2017-04-19 11:59:25;1,3,4,5;;;;2016-05-27 10:00:00
;Baixada;São João de Meriti;;Éden;linha vermelha-dutra;;CT: Bloco D;;não fumante, contribuição de 5 reais;2017-03-07 22:42:21;2017-04-19 11:59:25;2,4;;;;2017-04-27 18:00:00
;Baixada;Duque de Caxias;;"Teatro Raul Cortez; Bar dos Cavaleiros";"Linha vermelha; Av. Presidente kennedy; Av. Doutor Manoel Teles ";;CT: Bloco D;;Aula acaba as 15h;2016-04-12 02:09:39;2017-04-19 11:59:25;5;;;;2016-08-05 15:30:00
;Zona Sul;Copacabana;;;Frente Do DAEQ, Ponte Do Saber, Linha Vermelha, Humaitá, Túnel Velho, Siqueira Campos;;CT: Bloco D;;Colaboração a seu critério.;2016-04-14 11:52:27;2017-04-19 11:59:25;;;;;2016-04-14 16:00:00
;Zona Norte;Vila Isabel;;Igreja Nossa Senhora de Lourdes;Linha Vermelha, São Cristóvão, Radial Oeste, Avenida 28 De Setembro;;CT: Bloco D;;"Saio do fundão por volta das 17h.
Ar condicionado e playlist democrática.
Contribuição de R$3,00.";2016-08-26 11:05:32;2017-04-19 11:59:25;3,5;;;;2016-09-07 17:00:00
;Zona Oeste;Freguesia de Jacarepaguá;;;Ituverava, Estrada De Jacarepagua, Tirol...;;CT;;;2016-05-02 11:32:48;2017-04-19 11:59:25;1;;;;2016-05-09 18:00:00
;Zona Norte;Tijuca;;Alzira;;;CT;;;2016-06-27 13:14:45;2017-04-19 11:59:25;;;;;2016-06-27 17:00:00
;Zona Oeste;Campo Grande;;;Linha Vermelha - Avenida Brasil - Mendanha - Monteiro;;CT: Bloco D;;"Não fumantes.
Sem animais.";2018-04-08 23:18:13;2018-04-08 23:18:13;1,2;;;;2018-06-12 20:00:00
;Baixada;Nova Iguaçu;;Centro;Linha Vermelha, Dutra, Posto 13, Centro;;CT: Bloco H;;;2016-05-02 22:22:48;2017-04-19 11:59:25;;;;;2016-05-03 11:30:00
;Zona Oeste;Barra da Tijuca;;Shopping Rio Design Barra;Av. Das Américas / Ayrton Senna / Linha Amarela / Fundão;;CT: Bloco D;;R$6,00;2016-04-25 13:37:40;2017-04-19 11:59:25;1;;;;2016-06-06 16:00:00
;Zona Sul;Copacabana;;Próximo ao cinema Roxy e metrô Cantagalo;Rua Bolívar, Corte do Cantagalo, Túnel Rebouças;;CT;;;2016-04-11 09:53:58;2017-04-19 11:59:25;1,3;;;2016-04-15 09:41:18;2016-05-25 15:00:00
;Baixada;São João de Meriti;;;Vilar dos Teles, Agostinho Porto, Dutra, Linha vermelha. ;;CT: Bloco D;;;2016-05-18 14:50:59;2017-04-19 11:59:25;;;;2016-05-18 23:58:53;2016-05-18 18:00:00
;Baixada;São João de Meriti;;;Dutra/linha Vermelha;;Reitoria;;;2016-04-13 21:29:58;2017-04-19 11:59:25;1,2,3,5;;;2016-06-06 21:45:56;2016-05-13 07:30:00
;Centro;Lapa;;Praça da Cruz Vermelha;Central do Brasil Cidade Nova Leopoldina;;CT;;99631 7324;2016-12-07 11:46:08;2017-08-29 13:00:20;2,3,4,5;;;;2016-12-08 12:50:00
;Zona Oeste;Vargem Pequena;;Vargem Pequena;Rio Centro, Camorim, Linha Amarela, Centro e IFCS;;Praia Vermelha;;Fico no IFCS, não vou até a Praia Vermelha.;2019-03-25 10:31:11;2019-03-25 10:31:11;1,3;2019-07-25;;;2019-03-25 12:00:00
;Baixada;Duque de Caxias;;25 de Agosto;;;CT: Bloco D;;;2017-12-04 02:37:05;2017-12-04 02:37:05;1,2;;;;2018-01-15 17:00:00
;Baixada;Duque de Caxias;;Xerem;L Vermelha e W Luiz;;CT: Bloco D;;"Ajuda d custo: R$ 5,00
Cortesia grátis p quem precisar";2017-05-06 11:28:56;2017-05-06 11:28:56;1,2;;;;2017-06-06 17:00:00
;Zona Norte;Jardim Guanabara;;Cultura Inglesa;Estrada Do Galeao;;CT: Bloco D;;;2016-04-14 16:56:45;2017-04-19 11:59:25;3;;;2016-04-14 16:58:12;2016-06-15 20:00:00
;Zona Norte;Portuguesa;;hipermercado extra;Colégio newton braga, Galeão;;CCS;;Quem puder ajudar com 2 reais será bem vindo !;2016-06-14 17:10:15;2017-04-19 11:59:25;1,2,3,4,5;;;;2016-07-20 07:00:00
;Zona Oeste;Barra da Tijuca;;Jardim Oceânico;Zona Sul - São Conrado, Gávea, Lagoa, Fundão;;CT;;Cobro 6 reais de contribuição da gasolina.;2017-03-15 00:09:28;2017-04-19 11:59:25;1,2,3,4;;;2017-03-15 00:10:20;2017-05-08 01:00:00
;Zona Norte;Vicente de Carvalho;;Próximo à estação do metrô ;Automovel Clube a partir do metrô de Vicente, Linha Amarela;;CT;;Fala comigo pelo whats: 966705228;2017-03-05 21:45:58;2017-04-19 11:59:25;2,3,4,5;;;;2017-03-23 08:00:00
;Zona Norte;Tijuca;;Shopping Tijuca ;Linha Vermelha, Leopoldina, Av Maracana, Shopping Tijuca;;CT: Bloco H;;;2016-10-14 15:00:17;2017-04-19 11:59:25;1,2,3,4,5;;;2016-11-03 10:13:21;2016-11-18 17:00:00
;Zona Oeste;Barra da Tijuca;;Praça do ó;Linha amarela;;CT: Bloco D;;;2016-05-06 07:05:30;2017-04-19 11:59:25;2,3,4,5;;;;2016-06-17 12:30:00
;Zona Norte;Tijuca;;Mariz e Barros ;Linha Vermelha;;Letras;;;2016-04-27 00:33:06;2017-04-19 11:59:25;3;;;;2016-06-08 13:00:00
;Zona Oeste;Curicica;;Cidade Jardim;Linha Amarela;;CT;;;2016-04-12 08:55:02;2017-04-19 11:59:25;1,2,4,5;;;2016-04-14 00:24:32;2016-07-22 16:00:00
;Zona Sul;São Conrado;;Estrada das Canoas;Reboucas, Jardim Botanico, Gavea, Sao Conrado ;;CT: Bloco D;;;2016-04-12 06:40:58;2017-04-19 11:59:25;2;;;2016-04-12 06:41:46;2016-05-24 22:00:00
;Zona Sul;Ipanema;;;;;CT: Bloco D;;;2016-06-13 18:32:46;2017-04-19 11:59:25;;;;;2016-06-13 20:00:00
;Zona Sul;Botafogo;;D Mariana/Voluntários;Rebouças;;CT: Bloco H;;;2018-09-05 09:40:39;2018-09-05 09:40:39;1,3;;;;2018-09-19 13:00:00
;Zona Norte;Tijuca;;Praça Afonso Pena;Rua Dr. Satamini, América Clube, Praça Da Bandeira, Fundão.;;CCS;;Conto com uma ajuda de 3,50. Gasosa tá ficando cada dia mais cara haha. ;2016-05-20 02:26:15;2017-04-19 11:59:25;1,2,3,4,5;;;;2016-07-01 07:50:00
;Baixada;Duque de Caxias;;Duque de Caxias;Centro de Caxias, linha vermelha, praia vermelha.;;Praia Vermelha;;Saindo de Caxias até às 17:30Hs;2018-10-31 00:38:54;2018-10-31 00:38:54;1,3,4,5;;;;2018-12-13 18:00:00
;Zona Oeste;Curicica;;Cidade jardim, Rio 2;Linha Amarela;;CT;;5,00;2016-05-05 20:57:57;2017-04-19 11:59:25;1,2,3,5;;;;2016-06-03 07:40:00
;Zona Sul;Flamengo;;;Túnel Santa Bárbara;;CT: Bloco A;;;2016-05-25 11:59:10;2017-04-19 11:59:25;;;;;2016-05-25 19:15:00
;Baixada;Nova Iguaçu;;Viaduto da Posse, Sesc;Dutra, Linha Vermelha;;CT: Bloco D;;"Posso passar pelo ponto do Letras e EEFD.
Ajuda de custo é bem-vinda. ";2016-11-22 20:20:05;2017-04-19 11:59:25;2;;;2017-01-16 19:09:11;2017-01-24 17:00:00
;Zona Norte;Tijuca;;Afonso Pena;Praça da Bandeira, Clube América, Clube Municipal;;CT;;3 reais pra ajudar na gasolina :);2017-05-04 18:21:24;2017-05-04 18:21:24;1,3,5;;;;2017-05-12 10:00:00
;Zona Sul;Botafogo;;Praia vermelha;;;CCMN: Frente;;;2019-08-07 08:14:24;2019-08-07 08:14:24;1,3;2019-10-07;;;2019-09-16 13:15:00
;Zona Oeste;Bangu;;Igreja Santa Cecília;Realengo, Av Brasil, Linha Vermelha;;CCS;;;2017-05-08 08:23:43;2017-05-08 08:23:43;2;;;;2017-07-04 09:00:00
;Zona Norte;Penha;;Guanabara;bonsucesso, ramos, olaria, penha circular,  penha ;;CT: Bloco A;;$4;2017-04-13 00:37:22;2017-04-19 11:59:25;1,2,3,4,5;;;;2017-05-24 21:50:00
;Zona Sul;Ipanema;;General Osório;Barão da Torre, Vinícius de Morais;;CT;;;2016-04-11 18:20:19;2017-04-19 11:59:25;1;;;;2016-05-09 13:00:00
;Zona Norte;Méier;;ponto de onibus da rua carolina santos em frente ao numero 119;rua piaui, av. don helder camara, linha amarela;;CT;;"saio do ponto combinado as 8:30. aceito ajuda para gasolina, sem valor fixo.
as vezes o aplicativo nao manda notificacao, confirmar no whatsapp 995297880";2016-05-22 20:37:25;2017-04-19 11:59:25;1,2,3,4,5;;;;2016-06-07 08:30:00
;Zona Oeste;Barra da Tijuca;;Shopping Marapendi;Linha Amarela- Barra Shopping- Marapendi;;CCMN: Frente;;"-Não fumar 
-Peço uma ajuda de custo para o combustível R$ 4,00
-Poder mandar mensagem no WhatsApp 993145115";2019-08-04 19:28:25;2019-08-04 19:28:25;1,2,3,5;2019-10-05;;;2019-08-16 12:00:00
;Baixada;Mesquita;;Dutra até Posto 13;Marques Rollo / Estação de Nova Iguaçu ;;CT: Bloco H;;Posso passar em todos os pontos do Fundão. ;2016-05-12 19:26:02;2017-04-19 11:59:25;5;;;;2016-05-27 20:00:00
;Baixada;Japeri;;Engenheiro Pedreira;Linha Vermelha, Dutra, Viaduto da posse, Viaduto de Queimados, Engenheiro Pedreira;;CCMN: Frente;;Qualquer coisa só chamar no whats: 982579331;2018-04-04 06:31:17;2018-04-04 06:31:17;;;;;2018-04-04 09:10:00
;Zona Sul;Botafogo;;São Clemente, esquina com Guilhermina Guinle;Via Rebouças;;CT;;"Saindo por volta de 7:30 da São Clemente

Peço uma contribuição pra gasosa de 4 reais.";2017-05-29 21:57:08;2017-05-29 22:24:15;;;;2017-05-29 22:24:15;2017-05-30 08:00:00
;Baixada;Nova Iguaçu;;;Linha vermelha -Dutra -posse;;Letras;;"Ajuda para gasolina 4.00 reais.
Paradas na Dutra a combinar.
Ideal para quem faz o Clac.";2016-05-04 06:37:20;2017-04-19 11:59:25;6;;;;2016-07-02 12:00:00
;Zona Norte;Jardim Guanabara;;Quebra Coco;;;CCS;;;2016-04-14 07:30:31;2017-04-19 11:59:25;1,2,3,4,5;;;2016-04-14 22:07:33;2016-05-11 08:00:00
;Zona Sul;Lagoa;;Fonte da Saudade;Reboucas;;CT: Bloco A;;;2016-04-11 13:49:42;2017-04-19 11:59:25;1,2,3,4,5;;;;2016-05-24 17:00:00
;Zona Oeste;Recreio dos Bandeirantes;;Barra Bali;Linha Amarela;;Reitoria;;Saindo do fundão 13h;2016-05-10 07:31:19;2017-04-19 11:59:25;1,2,4,5;;;2016-05-10 07:32:35;2016-07-08 14:00:00
;Zona Sul;Leblon;;Casa de shows plataforma ;Leblon, Lagoa, Linha Vermelha, Fundão ;;CCMN;;Não fumo, peço 4 reais pra contribuir com a gasolina ;2017-03-04 13:46:10;2017-04-19 11:59:25;2,3,4,5;;;;2017-04-07 08:00:00
;Zona Norte;Vila Isabel;;Shopping Boulevard Rio (Antigo Iguatemi), UERJ;Teodoro da Silva, Radial, Quinta, São Cristóvão, Linha Vermelha;;CT;;"Saio 19h para chegar 19:30
Ligo o ar
Música de AC/DC à Rihanna
Aceito pequenas contribuições! Ou um mate também cai bem =)";2016-05-02 12:26:55;2017-04-19 11:59:25;1;;;;2016-06-27 19:30:00
